 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2025    Time:  15:11:27
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  78  -154.0000      26.051 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  79  -156.0000      28.030 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  80  -158.0000      30.009 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  81  -160.0000      31.988 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  82  -162.0000      33.967 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  83  -164.0000      35.946 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  84  -166.0000      37.925 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  85  -168.0000      39.904 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  86  -170.0000      41.883 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  87  -172.0000      43.861 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  88  -174.0000      45.840 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  89  -176.0000      47.819 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  90  -178.0000      49.798 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  91  -180.0000      51.777 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  92  -182.0000      53.756 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  93  -184.0000      55.735 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  94  -186.0000      57.714 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  95  -188.0000      59.693 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  96  -190.0000      61.672 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
